id;name;invoice_value;idv;engin_number;chassis_number;registration_number;seating_capacity;zone;year_of_manufacturing;registration_date;last_modified;last_modified_by
1;85154;Tunisia demand-driven;deposit;Account Michigan;Chair Keyboard Handmade;Rubber Designer fuchsia;30534;C;Manager Direct;Generic;Mews installation;Dynamic
2;73880;Rubber Zimbabwe Niger;Personal back optical;generate connecting;Macao Fresh Brand;revolutionize generating;67040;C;Sleek Small;strategy;Saint transmitting SAS;Gloves Program Key
3;68879;orchid Sol Assurance;Fantastic Loan models;Guarani Estonia;content;payment Kip SMTP;35013;A;Up-sized Intranet;Avon;Ports JBOD synthesize;Clothing Buckinghamshire Ball
4;93324;Peso azure olive;Wooden;Shirt EXE;Sleek copy olive;Gorgeous panel;16049;B;Liaison fuchsia directional;Applications Wooden digital;Garden Granite grey;Louisiana Trail Tugrik
5;55344;Baby Mountain fresh-thinking;navigate Extension Panama;Chief;mint online;Computer;38830;B;Forest Ball Illinois;monitor;application Account Rubber;Alabama feed
6;59161;e-business Customer;Aruba;engine blue IB;Texas Samoa;orchestrate 1080p Berkshire;9350;C;Proactive methodical;Lead hacking;Intelligent;THX
7;97377;indigo navigating Nevada;human-resource Gloves Ohio;Wooden haptic;payment;JBOD Litas;16973;B;Jewelery;Buckinghamshire;Agent Concrete;generating
8;36924;Incredible Analyst;SDR Taiwan;architectures project;Gloves;optical;92618;B;Realigned Table vortals;HTTP;Metal Architect;Computer
9;91190;system Movies digital;firewall withdrawal;Granite reboot;Manager;Krone forecast;24360;B;multi-byte Common Djibouti;overriding;Branding facilitate;Fresh transmit Algerian
10;75523;engage synthesize;auxiliary;Avon;Towels;Taka;61109;C;Keyboard Chair transparent;sensor Row;Assistant;copy
