id;area;landmark;taluka;district;state;pincode;last_modified;last_modified_by
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;needs-based Passage;Customer Cambridgeshire end-to-end;51509;Health didactic;Producer
2;Kids;Developer;Chile;invoice;Berkshire Designer the;66700;bypassing;Applications Pizza Expanded
3;navigate override SMTP;Alaska;Guilder;Human National Soap;calculating Shoes;86451;Rustic USB Quality-focused;Bacon morph
4;override projection Taka;Technician Accounts blue;generating Administrator;deposit clicks-and-mortar;out-of-the-box payment calculating;76299;Account Tasty;Identity
5;Architect;benchmark;Account;Personal calculating;Shoes;15031;Pizza;virtual
6;generating Computer;open-source Montana;analyzer;regional Regional withdrawal;Plastic Investor back;662;invoice;compress Licensed navigate
7;Frozen Tasty;calculate;generation Grocery;application;Beauty Court;61308;Keyboard;Self-enabling Norwegian users
8;Incredible Mouse grow;Frozen Specialist Granite;Jewelery;up Kids;Industrial USB;25631;Senior Licensed bandwidth;wireless Rupiah Balanced
9;Multi-tiered;Sleek;deposit;blue sensor web-enabled;District architecture;66600;Bulgaria withdrawal;District
10;South override Vermont;primary Unbranded olive;connect Steel;Generic scale;Bosnia Intelligent Savings;96746;open-source;Frozen
